Date,Price,Open,High,Low,per_change,Days
28-Oct-14,1.2734,1.2698,1.2765,1.2683,0.0028,0
29-Oct-14,1.2632,1.2735,1.2772,1.2631,-0.008,1
30-Oct-14,1.2613,1.2631,1.264,1.2547,-0.0015,2
31-Oct-14,1.2525,1.2612,1.2618,1.2485,-0.007,3
3-Nov-14,1.2483,1.2515,1.2517,1.2441,-0.0034,4
4-Nov-14,1.2546,1.2483,1.2578,1.2481,0.005,5
5-Nov-14,1.2486,1.2546,1.2568,1.2457,-0.0048,6
6-Nov-14,1.2375,1.2487,1.2535,1.2365,-0.0089,7
7-Nov-14,1.2454,1.2376,1.2471,1.2359,0.0064,8
10-Nov-14,1.2421,1.2452,1.251,1.2417,-0.0026,9
11-Nov-14,1.2475,1.2421,1.25,1.2394,0.0043,10
12-Nov-14,1.2439,1.2476,1.2499,1.2418,-0.0029,11
13-Nov-14,1.2477,1.2439,1.2492,1.2426,0.0031,12
14-Nov-14,1.2523,1.2477,1.2548,1.2399,0.0037,13
17-Nov-14,1.245,1.2526,1.2578,1.2444,-0.0058,14
18-Nov-14,1.2537,1.245,1.2546,1.2442,0.007,15
19-Nov-14,1.2554,1.2537,1.26,1.2512,0.0014,16
20-Nov-14,1.254,1.2555,1.2576,1.2504,-0.0011,17
21-Nov-14,1.239,1.2541,1.2571,1.2376,-0.012,18
24-Nov-14,1.2443,1.2376,1.2445,1.2357,0.0043,19
25-Nov-14,1.2475,1.2443,1.2487,1.2401,0.0026,20
26-Nov-14,1.2506,1.2475,1.2532,1.2443,0.0025,21
27-Nov-14,1.2467,1.2506,1.2524,1.2464,-0.0031,22
28-Nov-14,1.2452,1.2468,1.2492,1.2427,-0.0012,23
1-Dec-14,1.247,1.2456,1.2507,1.2419,0.0014,24
2-Dec-14,1.2383,1.2471,1.2478,1.2377,-0.007,25
3-Dec-14,1.2311,1.2382,1.2391,1.23,-0.0058,26
4-Dec-14,1.2379,1.2313,1.2458,1.2282,0.0055,27
5-Dec-14,1.2285,1.238,1.2393,1.2271,-0.0076,28
8-Dec-14,1.2317,1.2278,1.2344,1.2246,0.0026,29
9-Dec-14,1.2375,1.2317,1.2448,1.2292,0.0047,30
10-Dec-14,1.2448,1.2374,1.2449,1.2361,0.0059,31
11-Dec-14,1.2411,1.2448,1.2496,1.237,-0.003,32
12-Dec-14,1.2462,1.2413,1.2487,1.2384,0.0041,33
15-Dec-14,1.2437,1.2462,1.2485,1.2414,-0.002,34
16-Dec-14,1.2511,1.2437,1.2571,1.2433,0.0059,35
17-Dec-14,1.2343,1.2512,1.2517,1.2322,-0.0134,36
18-Dec-14,1.2286,1.2342,1.2353,1.2265,-0.0046,37
19-Dec-14,1.2228,1.2288,1.2305,1.2222,-0.0047,38
22-Dec-14,1.2231,1.2226,1.2273,1.2216,0.0002,39
23-Dec-14,1.2172,1.2231,1.2247,1.2165,-0.0048,40
24-Dec-14,1.2195,1.2172,1.2222,1.217,0.0019,41
25-Dec-14,1.2222,1.2195,1.2256,1.2186,0.0022,42
26-Dec-14,1.2176,1.2224,1.2228,1.2168,-0.0038,43
29-Dec-14,1.2152,1.2182,1.2221,1.2142,-0.002,44
30-Dec-14,1.2157,1.2151,1.2188,1.2123,0.0004,45
31-Dec-14,1.2098,1.2155,1.2172,1.2096,-0.0049,46
1-Jan-15,1.2104,1.21,1.2107,1.2094,0.0005,47
2-Jan-15,1.2003,1.2106,1.2111,1.2001,-0.0083,48
5-Jan-15,1.1934,1.2003,1.2008,1.1883,-0.0057,49
6-Jan-15,1.1889,1.1933,1.1969,1.1884,-0.0038,50
7-Jan-15,1.1839,1.1892,1.1898,1.1803,-0.0042,51
8-Jan-15,1.1793,1.1839,1.1848,1.1753,-0.0039,52
9-Jan-15,1.1841,1.1793,1.1848,1.1763,0.0041,53
12-Jan-15,1.1834,1.1838,1.1871,1.1786,-0.0006,54
